MeterIdentifier,on_peak,Multiplier,missing_multiplier,usage_kwh_calc_sum,usage_kwh_raw_sum
142856004,FALSE,1,TRUE,1839.672,1839.672
142856004,TRUE,1,TRUE,73.996,73.996
142856005,FALSE,1,FALSE,1705.039,1705.039
142856005,TRUE,1,FALSE,210.525,210.525
143072967,FALSE,1,TRUE,7.721,7.721
143072967,TRUE,1,TRUE,1.457,1.457
143072969,FALSE,1,FALSE,941.1405,941.1405
143072969,TRUE,1,FALSE,67.1405,67.1405
143072970,FALSE,1,TRUE,2060.299,2060.299
143072970,TRUE,1,TRUE,150.238,150.238
143072975,FALSE,1,FALSE,1558.341,1558.341
143072975,FALSE,1,TRUE,169.772,169.772
143072975,TRUE,1,FALSE,109.3,109.3
143072975,TRUE,1,TRUE,7.342,7.342
143072976,FALSE,1,FALSE,876.193,876.193
143072976,TRUE,1,FALSE,105.015,105.015
143072977,FALSE,1,FALSE,935.3005,935.3005
143072977,TRUE,1,FALSE,106.542,106.542
143072978,FALSE,1,FALSE,1150.236,1150.236
143072978,TRUE,1,FALSE,229.383,229.383
143072979,FALSE,1,FALSE,1072.955666,1072.955666
143072979,FALSE,1,TRUE,40.064,40.064
143072979,TRUE,1,FALSE,191.571,191.571
143072980,FALSE,1,FALSE,974.269,974.269
143072980,TRUE,1,FALSE,128.905,128.905
143072981,FALSE,1,FALSE,828.3985,828.3985
143072981,TRUE,1,FALSE,83.19,83.19
143072982,FALSE,1,FALSE,718.332,718.332
143072982,TRUE,1,FALSE,102.388,102.388
143072987,FALSE,1,TRUE,555.019,555.019
143072987,TRUE,1,TRUE,76.467,76.467
143072988,FALSE,1,FALSE,465.5305,465.5305
143072988,TRUE,1,FALSE,64.633,64.633
143072990,FALSE,1,TRUE,1444.303,1444.303
143072990,TRUE,1,TRUE,52.577,52.577
143072991,FALSE,1,TRUE,75.137,75.137
143072991,TRUE,1,TRUE,11.865,11.865
143072992,FALSE,1,TRUE,421.96,421.96
143072992,TRUE,1,TRUE,51.104,51.104
143072995,FALSE,1,TRUE,440.404,440.404
143072995,TRUE,1,TRUE,35.742,35.742
143072996,FALSE,1,TRUE,562.819,562.819
143072996,TRUE,1,TRUE,38.845,38.845
143072997,FALSE,1,TRUE,1058.815,1058.815
143072997,TRUE,1,TRUE,134.662,134.662
143072998,FALSE,1,TRUE,415.613,415.613
143072998,TRUE,1,TRUE,67.454,67.454
223301113,FALSE,1,TRUE,9.34,9.34
223301113,TRUE,1,TRUE,0.063,0.063
223301124,FALSE,1,TRUE,71.986,71.986
223301124,TRUE,1,TRUE,7.931,7.931
223301155,FALSE,160,FALSE,210140,1313.375
223301155,TRUE,160,FALSE,33536,209.6
223301156,FALSE,80,FALSE,65845.73331,823.0716663
223301156,TRUE,80,FALSE,12321.28,154.016
223301157,FALSE,1,TRUE,1151.486,1151.486
223301157,TRUE,1,TRUE,181.933,181.933
223301158,FALSE,40,FALSE,3002.199988,75.0549997
223301158,TRUE,40,FALSE,537.88,13.447
223360865,FALSE,1,FALSE,3822.439,3822.439
223360865,TRUE,1,FALSE,617.969,617.969
225008847,FALSE,1,FALSE,1574.389666,1574.389666
225008847,TRUE,1,FALSE,224.227,224.227
