MeterIdentifier,AccountNumber,AccountSubNumber,AccountRate,CISCycleIdentifier,Multiplier,missing_multiplier,usage_kwh_calc_sum_off_peak,usage_kwh_calc_sum_on_peak,usage_kwh_raw_sum_off_peak,usage_kwh_raw_sum_on_peak
142856004,216362.0,1.0,108,1,1.0,False,2311.494,101.534,2311.494,101.534
142856005,212624.0,1.0,108,1,1.0,False,2135.83599998,223.229,2135.83599998,223.229
143072967,200020.0,114.0,1TW,9,1.0,False,9.069,1.768,9.069,1.768
143072969,10993.0,1.0,103,1,1.0,False,1117.41983326,80.65116665000001,1117.41983326,80.65116665000001
143072970,11413.0,1.0,108,1,1.0,False,2363.886,178.898,2363.886,178.898
143072975,18428.0,1.0,108,1,1.0,True,2011.588,134.637,2011.588,134.637
143072976,21366.0,1.0,108,1,1.0,False,961.653,109.325,961.653,109.325
143072977,22194.0,1.0,108,1,1.0,False,1129.8305,137.259,1129.8305,137.259
143072978,25771.0,1.0,103,1,1.0,False,1385.814,287.7,1385.814,287.7
143072979,25249.0,1.0,103,1,1.0,True,1281.5076663,231.529,1281.5076663,231.529
143072980,30961.0,1.0,103,1,1.0,False,1167.77,175.363,1167.77,175.363
143072981,19447.0,1.0,108,1,1.0,False,1041.2345,104.403,1041.2345,104.403
143072982,16941.0,1.0,103,1,1.0,False,853.508,123.504,853.508,123.504
143072987,13579.0,1.0,103,1,1.0,False,667.357,105.404,667.357,105.404
143072988,218588.0,1.0,108,1,1.0,False,570.1105,89.377,570.1105,89.377
143072990,18006.0,1.0,108,1,1.0,False,1840.374,59.991,1840.374,59.991
143072991,14626.0,1.0,108,1,1.0,False,119.979,21.311,119.979,21.311
143072992,18949.0,1.0,108,1,1.0,False,569.751,55.367,569.751,55.367
143072995,24605.0,1.0,108,1,1.0,False,554.604,48.271,554.604,48.271
143072996,14968.0,1.0,108,1,1.0,False,654.272,41.675,654.272,41.675
143072997,15144.0,1.0,103,1,1.0,False,1287.42,202.722,1287.42,202.722
143072998,21070.0,1.0,108,1,1.0,False,546.991,106.297,546.991,106.297
223301113,18349.0,1.0,133,1,100.0,False,1086.5,12.100000000000001,10.865,0.121
223301124,20337.0,2.0,133,1,1.0,False,84.827,8.332,84.827,8.332
223301155,13169.0,1.0,143,1,160.0,False,242703.52,40600.64,1516.897,253.754
223301156,12442.0,1.0,143,1,80.0,False,77512.4533056,15517.6,968.90566632,193.97
223301157,11790.0,1.0,133,1,1.0,False,1333.671,222.954,1333.671,222.954
223301158,13495.0,1.0,123,1,40.0,False,3467.559988,686.28,86.6889997,17.157
223360865,204832.0,1.0,123,1,1.0,False,4545.4,807.9350000000001,4545.4,807.9350000000001
225008847,201632.0,1.0,123,1,1.0,False,1897.8506663,325.197,1897.8506663,325.197
