MeterIdentifier,MultiplierUsed,OnPeak_kWh,OffPeak_kWh,OnPeak_kWh_xMultiplier,OffPeak_kWh_xMultiplier,Total_kWh,Total_kWh_xMultiplier
142856004,1,100.776,2283.844,100.776,2283.844,2384.62,2384.62
142856005,1,221.416,2082.615,221.416,2082.615,2304.031,2304.031
143072967,1,1.701,8.847,1.701,8.847,10.548,10.548
143072969,1,79.35716665,1108.4795,79.35716665,1108.4795,1187.836667,1187.836667
143072970,1,178.136,2346.288,178.136,2346.288,2524.424,2524.424
143072975,1,133.593,1970.03,126.251,1800.258,2103.623,1926.509
143072976,1,113.236,985.039,113.236,985.039,1098.275,1098.275
143072977,1,138.562,1129.7565,138.562,1129.7565,1268.3185,1268.3185
143072978,1,281.955,1356.937,281.955,1356.937,1638.892,1638.892
143072979,1,223.821,1263.571666,223.821,1223.507666,1487.392666,1447.328666
143072980,1,175.391,1173.797,175.391,1173.797,1349.188,1349.188
143072981,1,106.748,1057.2715,106.748,1057.2715,1164.0195,1164.0195
143072982,1,127.627,862.323,127.627,862.323,989.95,989.95
143072987,1,103.007,655.629,103.007,655.629,758.636,758.636
143072988,1,89.116,560.4655,89.116,560.4655,649.5815,649.5815
143072990,1,59.991,1802.532,59.991,1802.532,1862.523,1862.523
143072991,1,21.243,116.721,21.243,116.721,137.964,137.964
143072992,1,55.166,560.182,55.166,560.182,615.348,615.348
143072995,1,46.688,548.926,46.688,548.926,595.614,595.614
143072996,1,41.675,649.058,41.675,649.058,690.733,690.733
143072997,1,193.697,1259.44,193.697,1259.44,1453.137,1453.137
143072998,1,88.982,527.135,88.982,527.135,616.117,616.117
223301113,100,0.121,10.371,12.1,1037.1,10.492,1049.2
223301124,1,8.292,82.655,8.292,82.655,90.947,90.947
223301155,160,245.17,1487.1,39227.2,237936,1732.27,277163.2
223301156,80,188.127,951.1666663,15050.16,76093.33331,1139.293666,91143.49331
223301157,1,214.716,1308.314,214.716,1308.314,1523.03,1523.03
223301158,40,16.421,85.1309997,656.84,3405.239988,101.5519997,4062.079988
223360865,1,771.734,4449.549,771.734,4449.549,5221.283,5221.283
225008847,1,312.753,1867.506666,312.753,1867.506666,2180.259666,2180.259666
